class_id,isim_tr
0,Abla
1,Acele
2,Acikmak
3,Afiyet olsun
4,Agabey
5,Ağaç
6,Agir
7,Ağlamak
8,Aile
9,Akıllı
10,Akilsiz
11,Akraba
12,Alisveris
13,Anahtar
14,Anne
15,Arkadas
16,Ataturk
17,Ayakkabi
18,Ayna
19,Ayni
20,Baba
21,Bahce
22,Bakmak
23,Bal
24,Bardak
25,Bayrak
26,Bayram
27,Bebek
28,Bekar
29,Beklemek
30,Ben
31,Benzin
32,Beraber
33,Bilgi vermek
34,Biz
35,Calismak
36,Carsamba
37,Catal
38,Cay
39,Caydanlik
40,Cekic
41,Cirkin
42,Cocuk
43,Corba
44,Cuma
45,Cumartesi
46,Cuzdan
47,Dakika
48,Dede
49,Degistirmek
50,Devirmek
51,Devlet
52,Doktor
53,Dolu
54,Dugun
55,Dun
56,Dusman
57,Duvar
58,Eczane
59,Eldiven
60,Emek
61,Emekli
62,Erkek
63,Et
64,Ev
65,Evet
66,Evli
67,Ezberlemek
68,Fil
69,Fotograf
70,Futbol
71,Gecmis
72,Gecmis olsun
73,Getirmek
74,Gol
75,Gomlek
76,Gormek
77,Gostermek
78,Gulmek
79,Hafif
80,Hakli
81,Hali
82,Hasta
83,Hastane
84,Hata
85,Havlu
86,Hayir
87,Hayirli olsun
88,Hayvan
89,Hediye
90,Helal
91,Hep
92,Hic
93,Hoscakal
94,İçmek
95,Igne
96,Ilac
97,Ilgilenmemek
98,Isik
99,Itmek
100,Iyi
101,Kacmak
102,Kahvalti
103,Kalem
104,Kalorifer
105,Kapi
106,Kardes
107,Kavsak
108,Kaza
109,Kemer
110,Keske
111,Kim
112,Kimlik
113,Kira
114,Kitap
115,Kiyma
116,Kiz
117,Koku
118,Kolonya
119,Komur
120,Köpek
121,Kopru
122,Kotu
123,Kucak
124,Leke
125,Maas
126,Makas
127,Masa
128,Masallah
129,Melek
130,Memnun olmak
131,Mendil
132,Merdiven
133,Misafir
134,Mudur
135,Musluk
136,Nasil
137,Neden
138,Nerede
139,Nine
140,Ocak
141,Oda
142,Odun
143,Ogretmen
144,Okul
145,Olimpiyat
146,Olmaz
147,Olur
148,Onlar
149,Orman
150,Oruc
151,Ozur dilemek
152,Pamuk
153,Pantolon
154,Para
155,Pastirma
156,Patates
157,Pazar
158,Pazartesi
159,Pencere
160,Persembe
161,Piknik
162,Polis
163,Psikoloji
164,Rica etmek
165,Saat
166,Sabun
167,Salca
168,Sali
169,Sampiyon
170,Şapka
171,Savas
172,Seker
173,Selam
174,Şemsiye
175,Sen
176,Senet
177,Serbest
178,Ses
179,Sevmek
180,Seytan
181,Sinir
182,Siz
183,Soylemek
184,Söz
185,Sut
186,Tamam
187,Tarak
188,Tarih
189,Tatil
190,Tatli
191,Tavan
192,Tehlike
193,Telefon
194,Terazi
195,Terzi
196,Tesekkur
197,Tornavida
198,Turkiye
199,Turuncu
200,Tuvalet
201,Un
202,Uzak
203,Uzgun
204,Var
205,Vergi
206,Yakin
207,Yalnız
208,Yanlis
209,Yapmak
210,Yarabandi
211,Yardim
212,Yarin
213,Yasak
214,Yastik
215,Yatak
216,Yavas
217,Yemek
218,Yemek pisirmek
219,Yildiz
220,Yok
221,Yol
222,Yorgun
223,Yumurta
224,Zaman
225,Zor
