sample,class_id
signer0_sample13,215
signer0_sample16,5
signer0_sample29,5
signer0_sample123,27
signer0_sample151,215
signer0_sample155,215
signer0_sample190,64
signer0_sample199,215
signer0_sample236,5
signer0_sample278,184
signer0_sample279,64
signer0_sample380,27
signer0_sample559,27
signer0_sample662,184
signer0_sample670,5
signer0_sample737,5
signer0_sample789,64
signer0_sample797,27
signer0_sample843,64
signer0_sample878,64
signer0_sample882,184
signer0_sample1001,184
signer0_sample1083,215
signer0_sample1107,5
signer0_sample1132,184
signer0_sample1191,27
signer0_sample1247,215
signer0_sample1248,184
signer0_sample1307,64
signer0_sample1331,27
signer2_sample63,215
signer2_sample108,184
signer2_sample120,64
signer2_sample167,64
signer2_sample188,27
signer2_sample244,215
signer2_sample297,27
signer2_sample393,184
signer2_sample401,215
signer2_sample450,215
signer2_sample467,184
signer2_sample524,184
signer2_sample590,184
signer2_sample612,27
signer2_sample673,215
signer2_sample718,27
signer2_sample750,5
signer2_sample757,5
signer2_sample786,5
signer2_sample871,5
signer2_sample887,5
signer2_sample964,64
signer2_sample980,64
signer2_sample1100,5
signer2_sample1124,64
signer2_sample1144,27
signer2_sample1156,215
signer2_sample1188,64
signer2_sample1196,184
signer2_sample1288,27
signer3_sample24,5
signer3_sample68,5
signer3_sample229,215
signer3_sample258,184
signer3_sample275,215
signer3_sample302,27
signer3_sample342,5
signer3_sample453,64
signer3_sample488,215
signer3_sample499,64
signer3_sample579,64
signer3_sample595,27
signer3_sample613,184
signer3_sample618,27
signer3_sample657,184
signer4_sample13,215
signer4_sample32,5
signer4_sample58,27
signer4_sample114,64
signer4_sample138,215
signer4_sample148,64
signer4_sample288,184
signer4_sample338,184
signer4_sample361,215
signer4_sample534,5
signer4_sample615,27
signer4_sample616,184
signer4_sample630,5
signer4_sample642,64
signer4_sample658,27
signer5_sample20,5
signer5_sample85,27
signer5_sample101,27
signer5_sample117,184
signer5_sample123,184
signer5_sample185,64
signer5_sample275,215
signer5_sample291,64
signer5_sample308,27
signer5_sample329,215
signer5_sample426,5
signer5_sample497,64
signer5_sample509,184
signer5_sample638,5
signer5_sample671,215
signer7_sample64,27
signer7_sample130,27
signer7_sample186,215
signer7_sample196,5
signer7_sample395,184
signer7_sample477,5
signer7_sample536,215
signer7_sample543,27
signer7_sample547,215
signer7_sample591,5
signer7_sample606,215
signer7_sample695,64
signer7_sample814,184
signer7_sample829,64
signer7_sample848,5
signer7_sample850,64
signer7_sample861,5
signer7_sample968,27
signer7_sample1012,27
signer7_sample1038,64
signer7_sample1081,64
signer7_sample1097,5
signer7_sample1141,215
signer7_sample1196,5
signer7_sample1219,184
signer7_sample1347,27
signer7_sample1401,215
signer7_sample1431,215
signer7_sample1479,215
signer7_sample1480,64
signer7_sample1505,215
signer7_sample1509,5
signer7_sample1517,184
signer7_sample1521,27
signer7_sample1535,184
signer7_sample1672,64
signer7_sample1702,64
signer7_sample1721,184
signer7_sample1735,5
signer7_sample1782,184
signer7_sample1796,64
signer7_sample1880,27
signer7_sample1891,5
signer7_sample1945,184
signer7_sample1981,27
signer7_sample2060,215
signer7_sample2064,184
signer7_sample2155,184
signer7_sample2173,184
signer7_sample2184,215
signer7_sample2288,27
signer7_sample2330,5
signer7_sample2339,27
signer7_sample2381,27
signer7_sample2392,215
signer7_sample2397,184
signer7_sample2460,64
signer7_sample2551,64
signer7_sample2584,5
signer7_sample2661,64
signer8_sample27,5
signer8_sample71,27
signer8_sample126,215
signer8_sample138,64
signer8_sample163,27
signer8_sample188,215
signer8_sample189,27
signer8_sample211,5
signer8_sample300,5
signer8_sample302,27
signer8_sample354,215
signer8_sample361,184
signer8_sample368,184
signer8_sample425,64
signer8_sample599,64
signer8_sample751,5
signer8_sample759,5
signer8_sample762,64
signer8_sample776,64
signer8_sample814,64
signer8_sample848,64
signer8_sample990,184
signer8_sample1046,215
signer8_sample1119,215
signer8_sample1126,27
signer8_sample1211,64
signer8_sample1219,64
signer8_sample1222,184
signer8_sample1233,184
signer8_sample1236,5
signer8_sample1275,64
signer8_sample1415,184
signer8_sample1425,184
signer8_sample1531,5
signer8_sample1634,184
signer8_sample1667,215
signer8_sample1712,5
signer8_sample1723,215
signer8_sample1837,5
signer8_sample1902,5
signer8_sample1954,184
signer8_sample2010,184
signer8_sample2030,27
signer8_sample2091,215
signer8_sample2114,27
signer8_sample2117,5
signer8_sample2192,64
signer8_sample2254,184
signer8_sample2292,27
signer8_sample2332,5
signer8_sample2345,27
signer8_sample2381,215
signer8_sample2413,27
signer8_sample2505,215
signer8_sample2544,184
signer8_sample2565,64
signer8_sample2621,27
signer8_sample2633,27
signer8_sample2635,215
signer8_sample2657,215
signer9_sample23,215
signer9_sample128,5
signer9_sample135,64
signer9_sample194,5
signer9_sample205,27
signer9_sample209,184
signer9_sample253,27
signer9_sample316,64
signer9_sample325,27
signer9_sample338,64
signer9_sample404,184
signer9_sample534,215
signer9_sample537,184
signer9_sample550,5
signer9_sample579,215
signer10_sample7,64
signer10_sample32,64
signer10_sample82,5
signer10_sample112,64
signer10_sample186,184
signer10_sample223,184
signer10_sample306,27
signer10_sample312,27
signer10_sample453,5
signer10_sample499,27
signer10_sample505,215
signer10_sample539,215
signer10_sample572,215
signer10_sample600,184
signer10_sample608,5
signer12_sample36,184
signer12_sample60,5
signer12_sample78,184
signer12_sample137,184
signer12_sample155,64
signer12_sample198,27
signer12_sample283,5
signer12_sample318,215
signer12_sample327,27
signer12_sample395,184
signer12_sample485,27
signer12_sample513,215
signer12_sample567,27
signer12_sample609,27
signer12_sample616,64
signer12_sample622,64
signer12_sample711,215
signer12_sample720,5
signer12_sample736,5
signer12_sample740,184
signer12_sample790,27
signer12_sample878,27
signer12_sample906,5
signer12_sample911,215
signer12_sample920,5
signer12_sample921,215
signer12_sample934,64
signer12_sample968,64
signer12_sample1042,184
signer12_sample1154,184
signer12_sample1307,5
signer12_sample1308,215
signer12_sample1518,184
signer12_sample1568,27
signer12_sample1661,5
signer12_sample1730,27
signer12_sample1761,64
signer12_sample1764,5
signer12_sample1817,184
signer12_sample1820,64
signer12_sample1831,64
signer12_sample1834,215
signer12_sample1875,215
signer12_sample1995,215
signer12_sample2002,64
signer13_sample6,64
signer13_sample138,27
signer13_sample141,64
signer13_sample186,215
signer13_sample236,27
signer13_sample243,215
signer13_sample272,215
